x,y,z
-88579.2,-314506,6.36962e+06
52094.6,-311967,6.37015e+06
-286131,-311266,6.36397e+06
73119.2,-310832,6.37e+06
-265128,-310130,6.36494e+06
94143.4,-309697,6.36978e+06
-244121,-308995,6.36583e+06
115167,-308561,6.36949e+06
-223112,-307860,6.36666e+06
255792,-306023,6.36552e+06
-82473.5,-305321,6.37015e+06
276802,-304888,6.36469e+06
-61449.3,-304186,6.37045e+06
297809,-303752,6.3638e+06
-40424,-303051,6.37067e+06
318814,-302617,6.36284e+06
-378547,-302349,6.35957e+06
-19398,-301915,6.37082e+06
339815,-301482,6.3618e+06
-357558,-301214,6.36084e+06
1628.65,-300780,6.3709e+06
121287,-299377,6.36982e+06
-217018,-298675,6.36731e+06
142310,-298242,6.36943e+06
-196004,-297540,6.36804e+06
163333,-297106,6.36898e+06
-174987,-296405,6.36871e+06
184354,-295971,6.36846e+06
-153968,-295270,6.3693e+06
205373,-294836,6.36787e+06
-132946,-294134,6.36983e+06
345942,-292297,6.3619e+06
7741.89,-291596,6.37133e+06
366940,-291162,6.36078e+06
-330484,-290894,6.36279e+06
28770.2,-290461,6.37132e+06
387935,-290027,6.35958e+06
-309484,-289759,6.36389e+06
49798.6,-289325,6.37124e+06
-288481,-288624,6.36493e+06
70826.8,-288190,6.37109e+06
-267475,-287488,6.3659e+06
211497,-285652,6.36809e+06
-126843,-284950,6.37037e+06
232515,-284516,6.36741e+06
-105818,-283815,6.3708e+06
253531,-283381,6.36666e+06
-84791.7,-282679,6.37117e+06
274545,-282246,6.36583e+06
-63764.1,-281544,6.37146e+06
-401896,-280842,6.35913e+06
76944.6,-279006,6.37143e+06
-261383,-278304,6.36656e+06
97973.5,-277870,6.37119e+06
-240371,-277169,6.36744e+06
119002,-276735,6.37088e+06
-219357,-276033,6.36825e+06
140029,-275600,6.3705e+06
-198339,-274898,6.36899e+06
161055,-274464,6.37006e+06
280670,-273061,6.36597e+06
-57654.4,-272360,6.37192e+06
301681,-271926,6.36506e+06
-395819,-271658,6.35991e+06
-36624.2,-271224,6.37212e+06
322690,-270791,6.36407e+06
-374830,-270523,6.36123e+06
-15593.4,-270089,6.37226e+06
343695,-269656,6.36302e+06
-353835,-269388,6.36248e+06
5438.02,-268954,6.37232e+06
364696,-268520,6.3619e+06
-332837,-268252,6.36366e+06
26469.7,-267819,6.37232e+06
-311835,-267117,6.36477e+06
167177,-265280,6.37029e+06
-171218,-264579,6.37021e+06
188202,-264145,6.36975e+06
-150193,-263443,6.37079e+06
209225,-263010,6.36914e+06
-129167,-262308,6.37129e+06
230247,-261874,6.36846e+06
-108139,-261173,6.37173e+06
370822,-259336,6.36193e+06
32585.7,-258634,6.37267e+06
391820,-258201,6.36071e+06
-305746,-257933,6.36544e+06
53618.5,-257499,6.37257e+06
412814,-257065,6.35943e+06
-284737,-256797,6.36646e+06
74651,-256364,6.37241e+06
-263726,-255662,6.36742e+06
95683,-255228,6.37217e+06
-242711,-254527,6.3683e+06
236371,-252690,6.36861e+06
-102031,-251988,6.3722e+06
257391,-251555,6.36784e+06
-81000.3,-250853,6.37255e+06
278408,-250419,6.367e+06
-419166,-250152,6.35929e+06
-59968.1,-249718,6.37283e+06
299422,-249284,6.36609e+06
-398178,-249016,6.36069e+06
-38934.9,-248583,6.37304e+06
-377185,-247881,6.36201e+06
101803,-246044,6.37244e+06
-236614,-245343,6.36889e+06
122835,-244909,6.37211e+06
-215594,-244207,6.36968e+06
143866,-243774,6.37172e+06
-194571,-243072,6.3704e+06
